ref,side,duration,distance,size_ratio,larger_size_ratio,mask_saliency,ratio_saliency,class
1,1,68,553,5,7,3,3,1
2,0,98,516,7,14,12,9,0
3,2,90,249,6,14,73,55,1
4,0,41,551,3,4,24,17,0
5,0,67,392,0,1,20,15,0
6,2,177,256,1,6,95,72,1
7,1,55,354,2,5,18,14,1
8,2,110,285,2,5,58,44,1
9,0,216,345,1,6,48,38,1
10,0,21,344,0,1,38,28,1
11,2,97,276,8,39,147,112,2
12,1,22,301,4,7,109,82,0
13,2,46,266,4,10,121,94,1
14,0,44,522,1,2,0,0,0
15,0,66,459,1,2,1,1,1
16,0,60,455,0,1,0,0,0
17,0,48,430,0,1,0,0,0
18,0,43,422,0,1,0,0,0
19,0,19,447,1,1,0,0,0
20,1,56,391,1,3,4,3,2
22,1,43,317,1,3,79,61,1
23,1,152,350,2,5,22,16,0
25,1,159,338,0,2,39,30,0
27,2,140,257,2,6,79,61,1
28,1,67,450,4,10,52,39,1
30,1,127,322,3,5,43,33,1
31,2,170,252,2,7,96,73,1
32,2,165,237,2,11,129,102,1
33,2,119,229,1,5,124,93,1
34,2,202,223,3,13,125,96,1
35,0,14,405,0,0,0,0,0
36,0,73,466,0,1,0,0,0
37,2,162,199,4,27,126,95,2
38,2,46,256,4,12,103,76,1
39,2,133,249,5,21,146,112,2
40,2,78,274,3,10,122,94,1
41,2,60,256,4,14,158,117,1
42,2,78,291,2,9,110,85,1
43,2,86,252,3,10,123,92,1
44,2,71,295,6,17,92,70,1
47,0,137,383,0,1,16,12,1
48,2,110,238,8,35,104,78,1
49,2,218,194,3,26,147,111,3
50,2,191,230,4,29,98,74,1
51,0,116,449,1,2,0,0,1
52,2,187,209,1,9,147,111,2
53,0,80,401,0,1,3,2,0
54,2,153,229,3,16,140,107,2
55,2,137,238,5,29,95,76,2
56,2,197,164,2,13,155,118,2
57,2,102,241,3,8,108,93,0
58,0,103,441,1,2,8,6,1
59,0,79,471,1,1,0,0,1
60,2,76,284,3,12,61,46,1
61,0,111,397,0,1,16,12,0
62,2,163,208,4,22,78,57,2
63,1,79,413,2,5,4,3,1
64,1,48,458,4,7,12,10,0
66,1,424,371,2,7,58,44,3
67,2,245,311,2,8,81,66,2
68,2,195,322,2,8,56,41,2
69,0,97,468,1,3,4,3,2
70,0,77,498,2,4,20,16,1
71,0,57,343,0,1,76,58,1
72,0,70,325,1,3,82,64,1
73,2,235,310,1,3,50,40,1
74,0,56,364,1,2,55,42,0
75,0,264,673,6,10,14,11,1
76,0,540,542,3,12,26,20,1
77,0,460,616,5,9,18,13,1
78,0,437,593,5,9,17,13,1
79,0,119,777,4,8,1,0,1
80,0,585,509,5,33,25,18,2
81,0,1049,441,3,19,28,21,1
82,0,632,369,3,12,49,37,2
83,1,43,473,2,3,1,1,0
84,1,37,529,1,2,0,0,0
85,1,96,374,4,10,10,8,1
86,0,158,422,7,21,21,16,0
87,1,93,448,6,14,1,0,1
88,1,136,462,5,12,1,1,1
91,1,34,465,2,3,12,10,0
92,1,45,541,7,12,10,7,1
93,1,57,411,4,7,48,38,1
94,2,115,341,3,7,87,68,1
95,2,135,321,3,11,53,41,1
96,2,238,263,7,30,74,57,1
97,1,41,442,1,2,5,4,0
98,1,104,383,3,7,31,24,0
99,1,89,318,1,4,38,28,0
100,0,51,296,4,9,129,96,1
101,1,679,389,0,1,33,27,1
104,0,26,544,1,1,13,9,0
105,2,164,229,1,8,118,91,1
106,2,140,277,3,9,83,61,1
107,2,222,332,2,8,54,43,1
108,1,285,314,2,12,84,65,1
110,0,89,414,2,5,42,31,2
111,0,61,409,2,3,31,24,1
114,0,46,400,1,1,19,14,1
115,0,22,411,1,1,22,16,0
116,0,160,366,3,9,69,52,1
117,0,64,368,1,2,31,24,0
118,0,84,381,1,2,67,49,0
119,0,304,403,3,17,33,24,1
121,2,81,295,4,11,88,67,1
122,2,165,317,3,10,76,58,1
123,0,8,704,4,4,0,0,0
124,2,220,279,1,3,104,78,1
125,2,298,234,2,6,100,78,1
126,1,105,421,1,3,70,53,1
127,2,117,330,2,6,95,72,1
128,2,182,325,3,11,93,69,1
129,2,207,390,3,14,39,29,1
130,1,38,373,7,14,44,34,0
131,1,48,448,7,14,10,7,1
132,0,53,347,1,3,14,11,0
133,2,84,332,2,11,61,48,1
134,1,20,412,6,7,22,17,0
135,0,28,643,4,5,0,0,0
136,0,17,478,0,0,0,0,0
137,1,33,377,2,4,44,37,1
138,2,73,264,3,10,126,101,1
139,2,168,210,2,9,141,110,3
140,2,150,244,2,8,114,90,2
141,1,58,348,2,3,25,20,1
143,1,111,517,2,5,0,0,1
144,0,22,564,1,1,7,6,0
145,2,153,305,1,4,100,73,1
21,1,107,446,4,11,10,8,0
24,1,162,523,3,9,8,6,1
26,1,13,459,6,8,36,25,1
45,2,94,257,0,1,85,66,1
46,0,25,362,0,0,2,1,0
65,1,94,696,1,2,0,0,0
89,1,42,582,3,8,8,7,0
90,1,46,540,3,7,7,5,0
102,1,55,511,7,13,4,3,3
103,1,164,614,8,12,9,7,2
120,1,36,322,9,22,78,60,1
142,1,67,352,2,7,15,12,1
29,1,76,573,5,12,3,2,0
112,1,26,557,3,4,0,0,0
113,1,9,495,2,3,0,0,0
